"","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","grade","gender","full_time_equivalent","headcount"
"138",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Assistant head teacher","Total",3148.492329,3254.459676
"139",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Classroom teacher","Total",37775.9359,41798.23373
"140",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Male",11701.01216,12056.36642
"141",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Female",33131.36518,36974.23833
"142",202021,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Gender Unclassified",1.5,2
"143",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Total",38534.64914,42892.4839
"144",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Head teacher","Total",2037.150592,2065.024445
"145",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Deputy head teacher","Total",1455.472698,1498.272275
"146",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Assistant head teacher","Total",2315.839394,2461.498369
"147",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Classroom teacher","Total",32726.18646,36867.68881
"148",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Male",9985.892584,10316.56595
"149",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Female",28529.19071,32555.96588
"150",202021,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Gender Unclassified",19.56584377,19.95206954
"151",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Total",51617.42633,56355.95
"152",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Head teacher","Total",2409.769645,2431.385815
"153",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Deputy head teacher","Total",2164.584579,2215.127467
"154",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Assistant head teacher","Total",3731.490928,3873.180398
"155",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Classroom teacher","Total",43311.58118,47836.25632
"156",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Male",13108.12488,13491.95802
"157",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Female",38498.15975,42851.9244
"158",202021,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Gender Unclassified",11.14170891,12.06757972
"159",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Total",51240.18,57662
"160",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Head teacher","Total",2494.075808,2527.785677
"161",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Deputy head teacher","Total",1988.476115,2056.255832
"162",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Assistant head teacher","Total",3151.191607,3303.448668
"163",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Classroom teacher","Total",43606.43647,49774.50982
"164",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Male",13168.6465,13659.10206
"165",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Female",38067.5335,43998.89794
"166",202021,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Gender Unclassified",4,4
"167",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Total",72524.7554,81459.8185
"168",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Head teacher","Total",3383.852896,3425.493866
"169",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Deputy head teacher","Total",2658.312585,2754.902629
"170",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Assistant head teacher","Total",4325.523018,4534.195324
"171",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Classroom teacher","Total",62157.0669,70745.22668
"172",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Male",18316.4517,18991.4339
"173",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Female",54206.28789,62466.36781
"174",202021,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Gender Unclassified",2.015802816,2.016795866
"175",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Total",41930.24,47830.85714
"176",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Head teacher","Total",2295.743301,2325.037803
"177",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Deputy head teacher","Total",1592.321048,1650.049403
"178",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Assistant head teacher","Total",2332.699341,2450.95672
"179",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Classroom teacher","Total",35709.47631,41404.81322
"180",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Male",11689.10591,12184.02188
"181",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Female",30237.53409,35642.83527
"182",202021,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Gender Unclassified",3.6,4
"183",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Total",28014.81667,29687.66667
"184",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Head teacher","Total",1089.169278,1101.46097
"185",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Deputy head teacher","Total",1201.761288,1241.966405
"186",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Assistant head teacher","Total",2184.638452,2289.3662
"187",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Classroom teacher","Total",23539.24765,25054.87309
"188",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Male",7891.423583,8170.429909
"189",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Female",20119.39308,21513.23676
"190",202021,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Gender Unclassified",4,4
"191",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Total",48459.38712,52298.46154
"192",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Head teacher","Total",1698.891034,1725.187939
"193",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Deputy head teacher","Total",1802.186114,1854.536594
"194",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Assistant head teacher","Total",3429.364683,3572.727194
"195",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Classroom teacher","Total",41528.94528,45146.00981
"196",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Male",12337.43785,12702.27124
"197",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Female",36113.14927,39587.1903
"198",202021,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Gender Unclassified",8.8,9
"199",201920,"Academic year","National","E92000001","England","","","Total","Total",453819.0807,500772.8086
"200",201920,"Academic year","National","E92000001","England","","","Head teacher","Total",22153.89706,22399.47921
"201",201920,"Academic year","National","E92000001","England","","","Deputy head teacher","Total",18524.512,19034.72489
"202",201920,"Academic year","National","E92000001","England","","","Assistant head teacher","Total",29376.38042,30563.75466
"203",201920,"Academic year","National","E92000001","England","","","Classroom teacher","Total",383764.2912,428774.8499
"204",201920,"Academic year","National","E92000001","England","","","Total","Male",117292.082,121359.3778
"205",201920,"Academic year","National","E92000001","England","","","Head teacher","Male",7291.269026,7334.655435
"206",201920,"Academic year","National","E92000001","England","","","Deputy head teacher","Male",5488.182438,5520.33566
"207",201920,"Academic year","National","E92000001","England","","","Assistant head teacher","Male",9276.333701,9377.127057
"208",201920,"Academic year","National","E92000001","England","","","Classroom teacher","Male",95236.29685,99127.25961
"209",201920,"Academic year","National","E92000001","England","","","Total","Female",336414.3207,379292.2749
"210",201920,"Academic year","National","E92000001","England","","","Head teacher","Female",14856.60867,15058.80374
"211",201920,"Academic year","National","E92000001","England","","","Deputy head teacher","Female",13032.3167,13510.37713
"212",201920,"Academic year","National","E92000001","England","","","Assistant head teacher","Female",20094.83363,21181.61317
"213",201920,"Academic year","National","E92000001","England","","","Classroom teacher","Female",288430.5617,329541.4809
"214",201920,"Academic year","National","E92000001","England","","","Total","Gender Unclassified",112.6779558,121.1559345
"215",201920,"Academic year","National","E92000001","England","","","Head teacher","Gender Unclassified",6.019364788,6.020034033
"216",201920,"Academic year","National","E92000001","England","","","Deputy head teacher","Gender Unclassified",4.012862112,4.012096774
"217",201920,"Academic year","National","E92000001","England","","","Assistant head teacher","Gender Unclassified",5.213088551,5.01442704
"218",201920,"Academic year","National","E92000001","England","","","Classroom teacher","Gender Unclassified",97.43264035,106.1093767
"219",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Total",21723.20667,23470.66667
"220",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Head teacher","Total",1150.643333,1162.333333
"221",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Deputy head teacher","Total",976.97,998
"222",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Assistant head teacher","Total",1279.16,1321
"223",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Classroom teacher","Total",18316.43333,19989.33333
"224",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Male",5306.47,5472
"225",201920,"Academic year","Regional","E92000001","England","E12000001","North East","Total","Female",16416.73667,17998.66667
"226",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Total",61345.91342,66489.15144
"227",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Head teacher","Total",3261.058167,3290.341111
"228",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Deputy head teacher","Total",2792.481717,2839.814967
"229",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Assistant head teacher","Total",3992.182443,4094.299541
"230",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Classroom teacher","Total",51300.19109,56264.69582
"231",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Male",15311.51829,15771.43658
"232",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Female",45961.37928,50639.69321
"233",201920,"Academic year","Regional","E92000001","England","E12000002","North West","Total","Gender Unclassified",73.01584416,78.02164502
"234",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Total",44196.51,48386
"235",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Head teacher","Total",2300.97,2331
"236",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Deputy head teacher","Total",1636.87,1670
"237",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Assistant head teacher","Total",3218.58,3330
"238",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Classroom teacher","Total",37040.09,41055
"239",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Male",11609.45,11965
"240",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Female",32582.26,36416
"241",201920,"Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber","Total","Gender Unclassified",4.8,5
"242",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Total",37850.61892,42211.9535
"243",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Head teacher","Total",2049.696943,2071.765203
"244",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Deputy head teacher","Total",1483.932703,1529.484326
"245",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Assistant head teacher","Total",2197.492813,2287.443203
"246",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Classroom teacher","Total",32119.49646,36323.26077
"247",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Male",9886.01296,10235.67699
"248",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Female",27955.23686,31965.23839
"249",201920,"Academic year","Regional","E92000001","England","E12000004","East Midlands","Total","Gender Unclassified",9.36909854,11.03812731
"250",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Total",50893.22,55628.6
"251",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Head teacher","Total",2410.336004,2435.54993
"252",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Deputy head teacher","Total",2229.49417,2274.70867
"253",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Assistant head teacher","Total",3643.5593,3788.526092
"254",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Classroom teacher","Total",42609.83053,47129.81531
"255",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Male",12946.14965,13324.90562
"256",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Female",37943.67035,42299.69438
"257",201920,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Gender Unclassified",3.4,4
"258",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Total",50241.06,56737
"259",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Head teacher","Total",2488.655436,2516.169028
"260",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Deputy head teacher","Total",2026.369982,2090.447745
"261",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Assistant head teacher","Total",3063.639641,3210.082428
"262",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Classroom teacher","Total",42662.39494,48920.3008
"263",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Male",12942.10876,13444.01157
"264",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Female",37290.69673,43283.93001
"265",201920,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Gender Unclassified",8.254509968,9.058424389
